date,subpop,incidH
2024-03-30,NC,2594540
2024-03-31,NC,2561346
2024-04-01,NC,2512150
2024-04-02,NC,2450092
2024-04-03,NC,2375535
2024-04-04,NC,2288927
2024-04-05,NC,2193660
2024-04-06,NC,2091645
2024-04-07,NC,1985426
2024-04-08,NC,1874535
2024-04-09,NC,1761613
2024-04-10,NC,1649737
2024-04-11,NC,1539361
2024-04-12,NC,1430215
2024-04-13,NC,1324746
2024-04-14,NC,1223864
2024-04-15,NC,1127211
2024-04-16,NC,1035453
2024-04-17,NC,949073
2024-04-18,NC,867893
2024-04-19,NC,792554
2024-04-20,NC,722374
2024-04-21,NC,657759
2024-04-22,NC,597512
2024-04-23,NC,542041
2024-04-24,NC,491544
2024-04-25,NC,445787
2024-04-26,NC,403659
2024-04-27,NC,364977
2024-04-28,NC,330014
2024-04-29,NC,298190
2024-04-30,NC,269341
2024-05-01,NC,243169
2024-05-02,NC,219359
2024-05-03,NC,197969
2024-05-04,NC,178699
2024-05-05,NC,160886
2024-05-06,NC,145141
2024-05-07,NC,130957
2024-05-08,NC,118022
2024-05-09,NC,106527
2024-05-10,NC,95920
2024-05-11,NC,86429
2024-05-12,NC,78123
2024-05-13,NC,70524
2024-05-14,NC,63723
2024-05-15,NC,57518
2024-05-16,NC,51906
2024-05-17,NC,46682
2024-05-18,NC,42118
2024-05-19,NC,37889
2024-05-20,NC,34088
2024-05-21,NC,30730
2024-05-22,NC,27621
2024-05-23,NC,24926
2024-05-24,NC,22396
2024-05-25,NC,20240
2024-05-26,NC,18291
2024-05-27,NC,16573
2024-05-28,NC,14938
2024-05-29,NC,13538
2024-05-30,NC,12229
2024-05-31,NC,10986
2024-06-01,NC,9909
2024-06-02,NC,8919
2024-06-03,NC,8065
2024-06-04,NC,7268
2024-06-05,NC,6516
2024-06-06,NC,5867
2024-06-07,NC,5267
2024-06-08,NC,4690
2024-06-09,NC,4235
2024-06-10,NC,3827
2024-06-11,NC,3429
2024-06-12,NC,3068
2024-06-13,NC,2737
2024-06-14,NC,2468
2024-06-15,NC,2241
2024-06-16,NC,1989
2024-06-17,NC,1824
2024-06-18,NC,1642
2024-06-19,NC,1458
2024-06-20,NC,1331
2024-06-21,NC,1177
2024-06-22,NC,1063
2024-06-23,NC,958
2024-06-24,NC,857
2024-06-25,NC,763
2024-06-26,NC,689
2024-06-27,NC,617
2024-06-28,NC,568
2024-06-29,NC,505
2024-06-30,NC,445
2024-07-01,NC,417
2024-07-02,NC,377
2024-07-03,NC,343
2024-07-04,NC,303
2024-07-05,NC,274
2024-07-06,NC,245
2024-07-07,NC,214
2024-07-08,NC,191
2024-07-09,NC,175
2024-07-10,NC,159
2024-07-11,NC,146
2024-07-12,NC,136
2024-07-13,NC,124
2024-07-14,NC,114
2024-07-15,NC,99
2024-07-16,NC,96
2024-07-17,NC,97
2024-07-18,NC,82
2024-07-19,NC,77
2024-07-20,NC,71
2024-07-21,NC,64
2024-07-22,NC,59
2024-07-23,NC,52
2024-07-24,NC,47
2024-07-25,NC,43
2024-07-26,NC,36
2024-07-27,NC,26
2024-07-28,NC,23
2024-07-29,NC,18
2024-07-30,NC,15
2024-07-31,NC,13
2024-08-01,NC,12
2024-08-02,NC,11
2024-08-03,NC,10
2024-08-04,NC,10
2024-08-05,NC,9
2024-08-06,NC,10
2024-08-07,NC,8
2024-08-08,NC,10
2024-08-09,NC,9
2024-08-10,NC,8
2024-08-11,NC,7
2024-08-12,NC,5
2024-08-13,NC,5
2024-08-14,NC,6
2024-08-15,NC,5
2024-08-16,NC,5
2024-08-17,NC,4
2024-08-18,NC,2
2024-08-19,NC,2
2024-08-20,NC,3
2024-08-21,NC,3
2024-08-22,NC,3
2024-08-23,NC,3
2024-08-24,NC,2
2024-08-25,NC,3
2024-08-26,NC,2
2024-08-27,NC,2
2024-08-28,NC,2
2024-08-29,NC,2
2024-08-30,NC,1
2024-08-31,NC,1
2024-09-01,NC,1
2024-09-02,NC,1
2024-09-03,NC,1
2024-09-04,NC,0
2024-09-05,NC,0
2024-09-06,NC,0
2024-09-07,NC,0
2024-09-08,NC,1
2024-09-09,NC,1
2024-09-10,NC,1
2024-09-11,NC,1
2024-09-12,NC,1
2024-09-13,NC,1
2024-09-14,NC,1
2024-09-15,NC,1
2024-09-16,NC,1
2024-09-17,NC,1
2024-09-18,NC,1
2024-09-19,NC,1
2024-09-20,NC,1
2024-09-21,NC,1
2024-09-22,NC,1
2024-09-23,NC,1
2024-09-24,NC,1
2024-09-25,NC,1
2024-09-26,NC,2
2024-09-27,NC,2
2024-09-28,NC,1
2024-09-29,NC,1
2024-09-30,NC,1
2024-10-01,NC,1
2024-10-02,NC,2
2024-10-03,NC,2
2024-10-04,NC,2
2024-10-05,NC,2
2024-10-06,NC,2
2024-10-07,NC,2
2024-10-08,NC,2
2024-10-09,NC,2
2024-10-10,NC,2
2024-10-11,NC,2
2024-10-12,NC,1
2024-10-13,NC,1
2024-10-14,NC,1
2024-10-15,NC,1
2024-10-16,NC,0
2024-10-17,NC,0
2024-10-18,NC,0
2024-10-19,NC,0
2024-10-20,NC,0
2024-10-21,NC,0
2024-10-22,NC,0
2024-10-23,NC,0
2024-10-24,NC,0
2024-10-25,NC,1
2024-10-26,NC,1
2024-10-27,NC,1
2024-10-28,NC,1
2024-10-29,NC,1
2024-10-30,NC,1
2024-10-31,NC,1
2024-11-01,NC,1
2024-11-02,NC,1
2024-11-03,NC,1
2024-11-04,NC,0
2024-11-05,NC,0
2024-11-06,NC,0
2024-11-07,NC,0
2024-11-08,NC,0
2024-11-09,NC,0
2024-11-10,NC,0
2024-11-11,NC,0
2024-11-12,NC,0
2024-11-13,NC,0
2024-11-14,NC,0
2024-11-15,NC,0
2024-11-16,NC,1
2024-11-17,NC,1
2024-11-18,NC,1
2024-11-19,NC,1
2024-11-20,NC,1
2024-11-21,NC,1
2024-11-22,NC,1
2024-11-23,NC,1
2024-11-24,NC,1
2024-11-25,NC,1
2024-11-26,NC,0
2024-11-27,NC,0
2024-11-28,NC,0
2024-11-29,NC,0
2024-11-30,NC,0
2024-12-01,NC,0
2024-12-02,NC,0
2024-12-03,NC,0
2024-12-04,NC,0
2024-12-05,NC,0
2024-12-06,NC,0
2024-12-07,NC,1
2024-12-08,NC,2
2024-12-09,NC,2
2024-12-10,NC,2
2024-12-11,NC,2
2024-12-12,NC,2
2024-12-13,NC,2
2024-12-14,NC,2
2024-12-15,NC,3
2024-12-16,NC,3
2024-12-17,NC,2
2024-12-18,NC,1
2024-12-19,NC,1
2024-12-20,NC,1
2024-12-21,NC,1
2024-12-22,NC,1
2024-12-23,NC,1
2024-12-24,NC,1
2024-12-25,NC,0
2024-12-26,NC,0
2024-12-27,NC,0
2024-12-28,NC,0
2024-12-29,NC,0
2024-12-30,NC,0
2024-12-31,NC,0
2024-01-01,SC,0
2024-01-02,SC,1137
2024-01-03,SC,2159
2024-01-04,SC,3290
2024-01-05,SC,4454
2024-01-06,SC,5751
2024-01-07,SC,7088
2024-01-08,SC,8720
2024-01-09,SC,10542
2024-01-10,SC,12575
2024-01-11,SC,14954
2024-01-12,SC,16343
2024-01-13,SC,18271
2024-01-14,SC,20523
2024-01-15,SC,23128
2024-01-16,SC,26153
2024-01-17,SC,29680
2024-01-18,SC,33466
2024-01-19,SC,37877
2024-01-20,SC,42874
2024-01-21,SC,48441
2024-01-22,SC,54961
2024-01-23,SC,62142
2024-01-24,SC,70118
2024-01-25,SC,79157
2024-01-26,SC,89195
2024-01-27,SC,100620
2024-01-28,SC,113407
2024-01-29,SC,127517
2024-01-30,SC,143452
2024-01-31,SC,160864
2024-02-01,SC,180493
2024-02-02,SC,202310
2024-02-03,SC,226323
2024-02-04,SC,252631
2024-02-05,SC,281884
2024-02-06,SC,313839
2024-02-07,SC,349186
2024-02-08,SC,387345
2024-02-09,SC,428402
2024-02-10,SC,473345
2024-02-11,SC,520829
2024-02-12,SC,571545
2024-02-13,SC,625326
2024-02-14,SC,681575
2024-02-15,SC,740331
2024-02-16,SC,800139
2024-02-17,SC,859679
2024-02-18,SC,920580
2024-02-19,SC,980852
2024-02-20,SC,1038640
2024-02-21,SC,1094092
2024-02-22,SC,1144829
2024-02-23,SC,1190635
2024-02-24,SC,1230710
2024-02-25,SC,1262708
2024-02-26,SC,1288197
2024-02-27,SC,1305379
2024-02-28,SC,1313002
2024-02-29,SC,1311892
2024-03-01,SC,1302721
2024-03-02,SC,1284095
2024-03-03,SC,1258045
2024-03-04,SC,1225202
2024-03-05,SC,1185214
2024-03-06,SC,1140422
2024-03-07,SC,1089865
2024-03-08,SC,1036987
2024-03-09,SC,981738
2024-03-10,SC,924258
2024-03-11,SC,865999
2024-03-12,SC,808588
2024-03-13,SC,752124
2024-03-14,SC,696470
2024-03-15,SC,643282
2024-03-16,SC,592564
2024-03-17,SC,544577
2024-03-18,SC,499062
2024-03-19,SC,456469
2024-03-20,SC,416923
2024-03-21,SC,379931
2024-03-22,SC,346013
2024-03-23,SC,314610
2024-03-24,SC,285810
2024-03-25,SC,259657
2024-03-26,SC,235257
2024-03-27,SC,213403
2024-03-28,SC,193265
2024-03-29,SC,174827
2024-03-30,SC,158735
2024-03-31,SC,143984
2024-04-01,SC,130377
2024-04-02,SC,118096
2024-04-03,SC,106993
2024-04-04,SC,97025
2024-04-05,SC,88097
2024-04-06,SC,79926
2024-04-07,SC,72702
2024-04-08,SC,66209
2024-04-09,SC,59926
2024-04-10,SC,54487
2024-04-11,SC,49561
2024-04-12,SC,45142
2024-04-13,SC,41217
2024-04-14,SC,37398
2024-04-15,SC,34078
2024-04-16,SC,31045
2024-04-17,SC,28317
2024-04-18,SC,25713
2024-04-19,SC,23401
2024-04-20,SC,21273
2024-04-21,SC,19382
2024-04-22,SC,17714
2024-04-23,SC,16102
2024-04-24,SC,14698
2024-04-25,SC,13336
2024-04-26,SC,12159
2024-04-27,SC,11092
2024-04-28,SC,10099
2024-04-29,SC,9220
2024-04-30,SC,8410
2024-05-01,SC,7669
2024-05-02,SC,6972
2024-05-03,SC,6377
2024-05-04,SC,5825
2024-05-05,SC,5290
2024-05-06,SC,4847
2024-05-07,SC,4393
2024-05-08,SC,3977
2024-05-09,SC,3617
2024-05-10,SC,3276
2024-05-11,SC,2960
2024-05-12,SC,2707
2024-05-13,SC,2453
2024-05-14,SC,2212
2024-05-15,SC,2029
2024-05-16,SC,1828
2024-05-17,SC,1653
2024-05-18,SC,1491
2024-05-19,SC,1340
2024-05-20,SC,1226
2024-05-21,SC,1130
2024-05-22,SC,1024
2024-05-23,SC,914
2024-05-24,SC,837
2024-05-25,SC,750
2024-05-26,SC,679
2024-05-27,SC,621
2024-05-28,SC,567
2024-05-29,SC,511
2024-05-30,SC,455
2024-05-31,SC,399
2024-06-01,SC,359
2024-06-02,SC,317
2024-06-03,SC,286
2024-06-04,SC,266
2024-06-05,SC,236
2024-06-06,SC,213
2024-06-07,SC,198
2024-06-08,SC,182
2024-06-09,SC,165
2024-06-10,SC,151
2024-06-11,SC,143
2024-06-12,SC,128
2024-06-13,SC,121
2024-06-14,SC,106
2024-06-15,SC,99
2024-06-16,SC,89
2024-06-17,SC,83
2024-06-18,SC,76
2024-06-19,SC,69
2024-06-20,SC,64
2024-06-21,SC,57
2024-06-22,SC,55
2024-06-23,SC,44
2024-06-24,SC,39
2024-06-25,SC,29
2024-06-26,SC,29
2024-06-27,SC,28
2024-06-28,SC,28
2024-06-29,SC,26
2024-06-30,SC,22
2024-07-01,SC,18
2024-07-02,SC,15
2024-07-03,SC,14
2024-07-04,SC,12
2024-07-05,SC,14
2024-07-06,SC,10
2024-07-07,SC,9
2024-07-08,SC,9
2024-07-09,SC,7
2024-07-10,SC,7
2024-07-11,SC,7
2024-07-12,SC,6
2024-07-13,SC,7
2024-07-14,SC,7
2024-07-15,SC,5
2024-07-16,SC,5
2024-07-17,SC,4
2024-07-18,SC,2
2024-07-19,SC,2
2024-07-20,SC,2
2024-07-21,SC,1
2024-07-22,SC,1
2024-07-23,SC,0
2024-07-24,SC,0
2024-07-25,SC,0
2024-07-26,SC,0
2024-07-27,SC,0
2024-07-28,SC,0
2024-07-29,SC,0
2024-07-30,SC,0
2024-07-31,SC,0
2024-08-01,SC,0
2024-08-02,SC,1
2024-08-03,SC,1
2024-08-04,SC,1
2024-08-05,SC,1
2024-08-06,SC,1
2024-08-07,SC,1
2024-08-08,SC,2
2024-08-09,SC,2
2024-08-10,SC,2
2024-08-11,SC,2
2024-08-12,SC,1
2024-08-13,SC,1
2024-08-14,SC,1
2024-08-15,SC,1
2024-08-16,SC,2
2024-08-17,SC,2
2024-08-18,SC,2
2024-08-19,SC,2
2024-08-20,SC,2
2024-08-21,SC,2
2024-08-22,SC,2
2024-08-23,SC,2
2024-08-24,SC,2
2024-08-25,SC,2
2024-08-26,SC,1
2024-08-27,SC,1
2024-08-28,SC,0
2024-08-29,SC,0
2024-08-30,SC,0
2024-08-31,SC,0
2024-09-01,SC,0
2024-09-02,SC,0
2024-09-03,SC,0
2024-09-04,SC,0
2024-09-05,SC,0
2024-09-06,SC,0
2024-09-07,SC,0
2024-09-08,SC,0
2024-09-09,SC,0
2024-09-10,SC,0
2024-09-11,SC,0
2024-09-12,SC,0
2024-09-13,SC,0
2024-09-14,SC,0
2024-09-15,SC,0
2024-09-16,SC,1
2024-09-17,SC,1
2024-09-18,SC,1
2024-09-19,SC,1
2024-09-20,SC,1
2024-09-21,SC,1
2024-09-22,SC,1
2024-09-23,SC,1
2024-09-24,SC,1
2024-09-25,SC,1
2024-09-26,SC,0
2024-09-27,SC,0
2024-09-28,SC,0
2024-09-29,SC,0
2024-09-30,SC,0
2024-10-01,SC,0
2024-10-02,SC,0
2024-10-03,SC,0
2024-10-04,SC,0
2024-10-05,SC,0
2024-10-06,SC,0
2024-10-07,SC,0
2024-10-08,SC,1
2024-10-09,SC,1
2024-10-10,SC,1
2024-10-11,SC,1
2024-10-12,SC,1
2024-10-13,SC,1
2024-10-14,SC,1
2024-10-15,SC,1
2024-10-16,SC,1
2024-10-17,SC,1
2024-10-18,SC,0
2024-10-19,SC,0
2024-10-20,SC,0
2024-10-21,SC,0
2024-10-22,SC,0
2024-10-23,SC,0
2024-10-24,SC,0
2024-10-25,SC,0
2024-10-26,SC,0
2024-10-27,SC,0
2024-10-28,SC,0
2024-10-29,SC,0
2024-10-30,SC,0
2024-10-31,SC,0
2024-11-01,SC,0
2024-11-02,SC,0
2024-11-03,SC,1
2024-11-04,SC,1
2024-11-05,SC,1
2024-11-06,SC,1
2024-11-07,SC,1
2024-11-08,SC,1
2024-11-09,SC,1
2024-11-10,SC,1
2024-11-11,SC,1
2024-11-12,SC,1
2024-11-13,SC,0
2024-11-14,SC,0
2024-11-15,SC,0
2024-11-16,SC,0
2024-11-17,SC,0
2024-11-18,SC,0
2024-11-19,SC,0
2024-11-20,SC,0
2024-11-21,SC,0
2024-11-22,SC,0
2024-11-23,SC,0
2024-11-24,SC,0
2024-11-25,SC,0
2024-11-26,SC,0
2024-11-27,SC,0
2024-11-28,SC,0
2024-11-29,SC,0
2024-11-30,SC,0
2024-12-01,SC,0
2024-12-02,SC,0
2024-12-03,SC,0
2024-12-04,SC,0
2024-12-05,SC,0
2024-12-06,SC,0
2024-12-07,SC,0
2024-12-08,SC,0
2024-12-09,SC,0
2024-12-10,SC,0
2024-12-11,SC,0
2024-12-12,SC,0
2024-12-13,SC,0
2024-12-14,SC,0
2024-12-15,SC,0
2024-12-16,SC,0
2024-12-17,SC,0
2024-12-18,SC,0
2024-12-19,SC,0
2024-12-20,SC,0
2024-12-21,SC,1
2024-12-22,SC,1
2024-12-23,SC,1
2024-12-24,SC,1
2024-12-25,SC,1
2024-12-26,SC,1
2024-12-27,SC,1
2024-12-28,SC,1
2024-12-29,SC,1
2024-12-30,SC,1
2024-12-31,SC,0
2024-01-01,GA,0
2024-01-02,GA,0
2024-01-03,GA,3
2024-01-04,GA,5
2024-01-05,GA,8
2024-01-06,GA,11
2024-01-07,GA,20
2024-01-08,GA,29
2024-01-09,GA,43
2024-01-10,GA,49
2024-01-11,GA,68
2024-01-12,GA,89
2024-01-13,GA,115
2024-01-14,GA,145
2024-01-15,GA,184
2024-01-16,GA,224
2024-01-17,GA,267
2024-01-18,GA,330
2024-01-19,GA,408
2024-01-20,GA,509
2024-01-21,GA,620
2024-01-22,GA,769
2024-01-23,GA,931
2024-01-24,GA,1099
2024-01-25,GA,1315
2024-01-26,GA,1576
2024-01-27,GA,1867
2024-01-28,GA,2199
2024-01-29,GA,2595
2024-01-30,GA,3066
2024-01-31,GA,3608
2024-02-01,GA,4239
2024-02-02,GA,4974
2024-02-03,GA,5853
2024-02-04,GA,6879
2024-02-05,GA,8009
2024-02-06,GA,9321
2024-02-07,GA,10924
2024-02-08,GA,12836
2024-02-09,GA,14981
2024-02-10,GA,17525
2024-02-11,GA,20387
2024-02-12,GA,23780
2024-02-13,GA,27741
2024-02-14,GA,32185
2024-02-15,GA,37405
2024-02-16,GA,43478
2024-02-17,GA,50370
2024-02-18,GA,58102
2024-02-19,GA,67389
2024-02-20,GA,77431
2024-02-21,GA,89472
2024-02-22,GA,103255
2024-02-23,GA,118682
2024-02-24,GA,136485
2024-02-25,GA,156621
2024-02-26,GA,179277
2024-02-27,GA,204997
2024-02-28,GA,234385
2024-02-29,GA,267378
2024-03-01,GA,305064
2024-03-02,GA,346750
2024-03-03,GA,393650
2024-03-04,GA,446741
2024-03-05,GA,505536
2024-03-06,GA,571107
2024-03-07,GA,644372
2024-03-08,GA,724948
2024-03-09,GA,813454
2024-03-10,GA,909599
2024-03-11,GA,1015100
2024-03-12,GA,1128258
2024-03-13,GA,1249639
2024-03-14,GA,1378915
2024-03-15,GA,1515357
2024-03-16,GA,1657041
2024-03-17,GA,1802376
2024-03-18,GA,1949604
2024-03-19,GA,2097597
2024-03-20,GA,2243454
2024-03-21,GA,2382816
2024-03-22,GA,2513930
2024-03-23,GA,2633964
2024-03-24,GA,2738694
2024-03-25,GA,2827986
2024-03-26,GA,2897011
2024-03-27,GA,2945790
2024-03-28,GA,2973434
2024-03-29,GA,2977028
2024-03-30,GA,2957672
2024-03-31,GA,2916945
2024-04-01,GA,2855338
2024-04-02,GA,2775205
2024-04-03,GA,2678544
2024-04-04,GA,2566304
2024-04-05,GA,2444085
2024-04-06,GA,2312538
2024-04-07,GA,2175701
2024-04-08,GA,2036278
2024-04-09,GA,1895342
2024-04-10,GA,1755484
2024-04-11,GA,1619931
2024-04-12,GA,1487703
2024-04-13,GA,1361731
2024-04-14,GA,1242326
2024-04-15,GA,1130683
2024-04-16,GA,1026325
2024-04-17,GA,928783
2024-04-18,GA,838126
2024-04-19,GA,756354
2024-04-20,GA,680845
2024-04-21,GA,611821
2024-04-22,GA,549572
2024-04-23,GA,493008
2024-04-24,GA,441879
2024-04-25,GA,395548
2024-04-26,GA,353990
2024-04-27,GA,316438
2024-04-28,GA,283068
2024-04-29,GA,252582
2024-04-30,GA,225984
2024-05-01,GA,202046
2024-05-02,GA,180484
2024-05-03,GA,161354
2024-05-04,GA,144328
2024-05-05,GA,128718
2024-05-06,GA,114963
2024-05-07,GA,102684
2024-05-08,GA,91645
2024-05-09,GA,81811
2024-05-10,GA,72820
2024-05-11,GA,64928
2024-05-12,GA,57998
2024-05-13,GA,51750
2024-05-14,GA,46049
2024-05-15,GA,41140
2024-05-16,GA,36757
2024-05-17,GA,32730
2024-05-18,GA,29337
2024-05-19,GA,26178
2024-05-20,GA,23359
2024-05-21,GA,20935
2024-05-22,GA,18688
2024-05-23,GA,16625
2024-05-24,GA,14942
2024-05-25,GA,13395
2024-05-26,GA,11913
2024-05-27,GA,10694
2024-05-28,GA,9520
2024-05-29,GA,8557
2024-05-30,GA,7637
2024-05-31,GA,6803
2024-06-01,GA,6108
2024-06-02,GA,5514
2024-06-03,GA,4905
2024-06-04,GA,4338
2024-06-05,GA,3878
2024-06-06,GA,3483
2024-06-07,GA,3119
2024-06-08,GA,2766
2024-06-09,GA,2528
2024-06-10,GA,2279
2024-06-11,GA,2029
2024-06-12,GA,1782
2024-06-13,GA,1606
2024-06-14,GA,1432
2024-06-15,GA,1280
2024-06-16,GA,1137
2024-06-17,GA,996
2024-06-18,GA,894
2024-06-19,GA,792
2024-06-20,GA,686
2024-06-21,GA,600
2024-06-22,GA,541
2024-06-23,GA,474
2024-06-24,GA,423
2024-06-25,GA,376
2024-06-26,GA,328
2024-06-27,GA,294
2024-06-28,GA,269
2024-06-29,GA,238
2024-06-30,GA,212
2024-07-01,GA,184
2024-07-02,GA,164
2024-07-03,GA,150
2024-07-04,GA,140
2024-07-05,GA,124
2024-07-06,GA,106
2024-07-07,GA,90
2024-07-08,GA,78
2024-07-09,GA,73
2024-07-10,GA,69
2024-07-11,GA,61
2024-07-12,GA,61
2024-07-13,GA,57
2024-07-14,GA,49
2024-07-15,GA,48
2024-07-16,GA,45
2024-07-17,GA,46
2024-07-18,GA,41
2024-07-19,GA,33
2024-07-20,GA,29
2024-07-21,GA,30
2024-07-22,GA,25
2024-07-23,GA,19
2024-07-24,GA,18
2024-07-25,GA,15
2024-07-26,GA,11
2024-07-27,GA,9
2024-07-28,GA,7
2024-07-29,GA,6
2024-07-30,GA,5
2024-07-31,GA,3
2024-08-01,GA,5
2024-08-02,GA,6
2024-08-03,GA,6
2024-08-04,GA,5
2024-08-05,GA,5
2024-08-06,GA,4
2024-08-07,GA,4
2024-08-08,GA,4
2024-08-09,GA,4
2024-08-10,GA,4
2024-08-11,GA,1
2024-08-12,GA,0
2024-08-13,GA,0
2024-08-14,GA,0
2024-08-15,GA,1
2024-08-16,GA,1
2024-08-17,GA,1
2024-08-18,GA,1
2024-08-19,GA,1
2024-08-20,GA,1
2024-08-21,GA,2
2024-08-22,GA,2
2024-08-23,GA,2
2024-08-24,GA,2
2024-08-25,GA,1
2024-08-26,GA,1
2024-08-27,GA,1
2024-08-28,GA,1
2024-08-29,GA,1
2024-08-30,GA,1
2024-08-31,GA,0
2024-09-01,GA,0
2024-09-02,GA,0
2024-09-03,GA,0
2024-09-04,GA,0
2024-09-05,GA,0
2024-09-06,GA,0
2024-09-07,GA,0
2024-09-08,GA,0
2024-09-09,GA,0
2024-09-10,GA,0
2024-09-11,GA,0
2024-09-12,GA,0
2024-09-13,GA,0
2024-09-14,GA,0
2024-09-15,GA,0
2024-09-16,GA,0
2024-09-17,GA,0
2024-09-18,GA,0
2024-09-19,GA,0
2024-09-20,GA,0
2024-09-21,GA,0
2024-09-22,GA,0
2024-09-23,GA,0
2024-09-24,GA,0
2024-09-25,GA,0
2024-09-26,GA,0
2024-09-27,GA,0
2024-09-28,GA,0
2024-09-29,GA,0
2024-09-30,GA,0
2024-10-01,GA,0
2024-10-02,GA,0
2024-10-03,GA,0
2024-10-04,GA,0
2024-10-05,GA,0
2024-10-06,GA,0
2024-10-07,GA,0
2024-10-08,GA,0
2024-10-09,GA,0
2024-10-10,GA,0
2024-10-11,GA,0
2024-10-12,GA,0
2024-10-13,GA,0
2024-10-14,GA,0
2024-10-15,GA,2
2024-10-16,GA,2
2024-10-17,GA,2
2024-10-18,GA,2
2024-10-19,GA,2
2024-10-20,GA,2
2024-10-21,GA,2
2024-10-22,GA,2
2024-10-23,GA,2
2024-10-24,GA,2
2024-10-25,GA,0
2024-10-26,GA,0
2024-10-27,GA,0
2024-10-28,GA,0
2024-10-29,GA,0
2024-10-30,GA,0
2024-10-31,GA,0
2024-11-01,GA,0
2024-11-02,GA,0
2024-11-03,GA,0
2024-11-04,GA,0
2024-11-05,GA,0
2024-11-06,GA,0
2024-11-07,GA,0
2024-11-08,GA,0
2024-11-09,GA,1
2024-11-10,GA,1
2024-11-11,GA,1
2024-11-12,GA,1
2024-11-13,GA,1
2024-11-14,GA,1
2024-11-15,GA,1
2024-11-16,GA,1
2024-11-17,GA,1
2024-11-18,GA,1
2024-11-19,GA,0
2024-11-20,GA,0
2024-11-21,GA,1
2024-11-22,GA,1
2024-11-23,GA,1
2024-11-24,GA,1
2024-11-25,GA,1
2024-11-26,GA,1
2024-11-27,GA,1
2024-11-28,GA,1
2024-11-29,GA,1
2024-11-30,GA,1
2024-12-01,GA,0
2024-12-02,GA,0
2024-12-03,GA,0
2024-12-04,GA,0
2024-12-05,GA,0
2024-12-06,GA,0
2024-12-07,GA,0
2024-12-08,GA,0
2024-12-09,GA,0
2024-12-10,GA,0
2024-12-11,GA,0
2024-12-12,GA,0
2024-12-13,GA,0
2024-12-14,GA,0
2024-12-15,GA,0
2024-12-16,GA,0
2024-12-17,GA,0
2024-12-18,GA,0
2024-12-19,GA,0
2024-12-20,GA,0
2024-12-21,GA,0
2024-12-22,GA,0
2024-12-23,GA,0
2024-12-24,GA,0
2024-12-25,GA,0
2024-12-26,GA,0
2024-12-27,GA,0
2024-12-28,GA,0
2024-12-29,GA,0
2024-12-30,GA,0
2024-12-31,GA,0
